,id,phases,sponsor,collaborators,interventions,locations,enrollment,conditions,Start Date,Max Phase
231,NCT05445778,Phase 3,"ImmunoGen, Inc.",GOG Foundation,"MIRV,Mirvetuximab soravtansine plus Bevacizumab,Bevacizumab","Belgium,Israel,Italy,Korea, Republic of,Spain,Canada,Philippines,Czechia,Australia,United States,United Kingdom",418,"Fallopian Tube Cancer,Peritoneal Cancer,Ovarian Cancer",2022-12-27,3
232,NCT05271604,Phase 2,"BioAtla, Inc.",,"PD-1 inhibitor,Ozuriftamab Vedotin",United States,80,"Recurrent Squamous Cell Carcinoma of the Head and Neck,Metastatic Squamous Cell Carcinoma of the Head and Neck,Head and Neck Cancer,Squamous Cell Carcinoma of Head and Neck,Metastatic Cancer",2022-12-13,2
233,NCT03543813,"Phase 2,Phase 1",CytomX Therapeutics,,CX-2029,"United States,Korea, Republic of,United Kingdom,Spain",133,"Esophageal Cancer,Solid Tumor, Adult,Diffuse Large B Cell Lymphoma,Non Small Cell Lung Cancer,Head and Neck Cancer",2018-06-15,2
234,NCT06298058,Phase 1,Shanghai Institute Of Biological Products,"Shanghai Pulmonary Hospital, Shanghai, China","Her3-ADC,SIBP-A13 formulation for injection",,144,Advanced Solid Tumor,2024-03-12,1
235,NCT05867563,Phase 1,"Chia Tai Tianqing Pharmaceutical Group Nanjing Shunxin Pharmaceutical Co., Ltd.",,TQB2103 for injection,China,71,Advanced Malignant Neoplasm,2023-07-04,1
236,NCT03245736,Phase 2,Seagen Inc.,Genmab,"TIVDAK,Tisotumab Vedotin","United States,United Kingdom",5,"Endometrium Cancer,Prostate Cancer,Squamous Cell Carcinoma of the Head and Neck,Bladder Cancer,Cervix Cancer,Ovary Cancer,Esophagus Cancer,Lung Cancer, Nonsmall Cell",2017-08-23,2
237,NCT05798156,Phase 2,Institut für Klinische Krebsforschung IKF GmbH at Krankenhaus Nordwest,"Roche Pharma AG,Charite University, Berlin, Germany,Arbeitsgemeinschaft medikamentoese Tumortherapie,University of Salzburg,Zentrum für Klinische Studien Leipzig,Hoffmann-La Roche","Glofitamab,Polatuzumab vedotin,Obinutuzumab,Rituximab","Germany,Austria",80,"Lymphoma, Large B-Cell, Diffuse",2023-03-20,2
238,NCT05653271,Phase 1,"Acepodia Biotech, Inc.",,"Fludarabine,Cyclophosphamide,Obinutuzumab,ACE1831","United States,Taiwan",42,"DLBCL,B-cell Lymphoma,Primary Mediastinal Large B Cell Lymphoma,Marginal Zone Lymphoma,Follicular Lymphoma,Non Hodgkin Lymphoma",2023-01-21,1
239,NCT02099058,Phase 1,AbbVie,,"Telisotuzumab vedotin,Erlotinib,Osimertinib,Nivolumab,ABBV-399","Belgium,United States,Italy,Korea, Republic of,Netherlands,Taiwan,Finland,Japan,France",237,Advanced Solid Tumors Cancer,2014-01-15,1
240,NCT00674947,Phase 1,Biogen,,BIIB015,United States,55,Solid Tumors,2008-06-01,1
241,NCT05965479,Phase 2,University of Southampton,"AstraZeneca,Natera, Inc.","Enhertu,Trastuzumab deruxtecan",United Kingdom,25,Gastrooesophageal Cancer,2024-04-10,2
242,NCT00624819,Phase 3,GlaxoSmithKline,,"Synflorix,Prevenar,Havrix,Varilrix,Infanrix hexa,GSK1024805A",Poland,524,"Streptococcus Pneumoniae Vaccines,Infections, Streptococcal",2008-03-03,3
243,NCT06100874,Phase 2,Adrienne G. Waks,Gilead Sciences,"Trastuzumab,Trodelvy,Herceptin Hylecta,Sacituzumab Govitecan,Herceptin,Trastuzumab and Hyaluronidase-oysk",United States,40,"Breast Cancer Female,Her 2 Positive Breast Cancer,Breast Cancer Metastatic",2023-11-20,2
244,NCT02073487,Phase 2,The Methodist Hospital Research Institute,"Celgene Corporation,Novartis","Trastuzumab,Pertuzumab,tykerb,Perjeta,Kadcyla,trastuzumab emtansine,Paclitaxel,Abraxane,nab-paclitaxel,Lapatinib,T-DM1,Taxol,Herceptin",United States,32,Breast Cancer,2014-02-01,2
245,NCT03737955,Phase 2,University of Washington,Pfizer,"Gemtuzumab Ozogamicin,Calicheamicin-Conjugated Humanized Anti-CD33 Monoclonal Antibody,Quality-of-Life Assessment,Mylotarg,CDP-771",United States,36,Acute Myeloid Leukemia,2018-11-30,2
246,NCT05622890,Phase 3,"Hangzhou Zhongmei Huadong Pharmaceutical Co., Ltd.",,"MIRV,IMGN853,Mirvetuximab Soravtansine",China,35,"Epithelial Ovarian Cancer,Peritoneal Cancer,Fallopian Tube Cancer",2022-08-18,3
247,NCT04143711,"Phase 2,Phase 1",Dragonfly Therapeutics,,"DF1001,Sacituzumab Govitecan-hziy,Nab paclitaxel,Nivolumab","Belgium,Netherlands,United States,Denmark,France",378,"Solid Tumor, Adult",2019-11-11,2
248,NCT06176261,Phase 2,"Sarah Sammons, MD",Daiichi Sankyo,"Datopotamab Deruxtecan,DS-1062; DS-1062a, Dato-DXd",United States,58,"Breast Cancer,Metastatic Triple-Negative Breast Carcinoma,Breast Cancer Female,ER Positive Breast Cancer,HER2 Negative Breast Carcinoma,ER-negative Breast Cancer,HER2-negative Breast Cancer",2023-12-26,2
249,NCT01125527,Phase 3,Novartis Vaccines,,"Monovalent glyco-conjugated vaccine against Haemophilus influenzae type b (Hib),Tetanus toxoid polysaccharide-conjugated vaccine against Haemophilus influenzae type b (Hib)",China,700,Haemophilus Influenzae Type b (Hib) Infection,2009-08-01,3
250,NCT01060904,Phase 1,Seagen Inc.,"Millennium Pharmaceuticals, Inc.","dacarbazine,brentuximab vedotin,SGN-35,vinblastine,doxorubicin,bleomycin","Canada,United States",51,"Disease, Hodgkin",2010-01-01,1
251,NCT02485119,Phase 1,Bayer,,BAY94-9343,Japan,12,Neoplasms,2015-08-14,1
252,NCT05123482,"Phase 2,Phase 1",AstraZeneca,,"Drug: AZD8205,Drug: AZD8205 and AZD2936 (Rilvegostomig),AZD8205 and AZD2936 (Rilvegostomig),AZD8205","Hungary,Belgium,China,Poland,Italy,Thailand,Korea, Republic of,Spain,Canada,Netherlands,United Kingdom,Taiwan,Australia,United States,Japan",340,"Breast Cancer,Ovarian Cancer,Endometrial Cancer,Biliary Tract Carcinoma",2021-10-13,2
253,NCT04296890,Phase 3,"ImmunoGen, Inc.",,"MIRV,IMGN853,Mirvetuximab Soravtansine","Germany,Belgium,Poland,Israel,Italy,United States,Spain,Czechia,Australia,Ireland,Bulgaria",106,"Epithelial Ovarian Cancer,Peritoneal Cancer,Fallopian Tube Cancer",2020-07-23,3
254,NCT04014075,Phase 2,Daiichi Sankyo,AstraZeneca,"Drug: Trastuzumab deruxtecan,DS-8201a,Trastuzumab deruxtecan","Belgium,Italy,Spain,United States,United Kingdom",79,"Adenocarcinoma - GEJ,Adenocarcinoma Gastric Stage IV With Metastases",2019-08-07,2
255,NCT06415487,Phase 1,"Acepodia Biotech, Inc.",,"Fludarabine,Cyclophosphamide,ACE2016,Pembrolizumab",United States,30,"Locally Advanced Solid Tumor,Metastatic Solid Tumor",2024-05-31,1
256,NCT03835819,Phase 2,Dana-Farber Cancer Institute,"ImmunoGen, Inc.,Merck Sharp & Dohme LLC","Elahere,Pembrolizumab,Mirvetuximab soravtansine,IMGN853,Keytruda",United States,18,Endometrial Cancer,2020-01-02,2
257,NCT05547321,Phase 1,Oncomatryx Biopharma S.L.,,"OMTX705,Pembrolizumab,Keytruda (trademark),NA at this moment","United States,Spain",120,Advanced Solid Tumor,2022-10-20,1
258,NCT04822337,"Phase 2,Phase 1",Wake Forest University Health Sciences,"Amgen,GlaxoSmithKline","Carfilzomib, Lenalidomide, Dexamethasone, Belantamab Mafodotin",United States,70,Multiple Myeloma,2021-05-19,2
259,NCT02980341,"Phase 2,Phase 1","Daiichi Sankyo Co., Ltd.",Daiichi Sankyo,"U3-1402,Patritumab Deruxtecan","United States,Japan",184,Metastatic Breast Cancer,2016-11-28,2
260,NCT06219941,Phase 2,AstraZeneca,,"Irinotecan,5-FU,l-leucovorin,Camptosar,CMG901,LV,Nanoliposomal Irinotecan,ONIVYDE,AZD0901,I-LV,Gemzar,5-Fluorouracil,Gemcitabine,Leucovorin","Poland,Japan,Georgia,Korea, Republic of,Spain,Canada,Singapore,Moldova, Republic of,Taiwan,Malaysia,Australia,United States,United Kingdom",123,"Gastric Cancer,Pancreatic Adenocarcinoma,Gastroesophageal Junction Cancer",2023-12-13,2
261,NCT05735496,Phase 1,"Chia Tai Tianqing Pharmaceutical Group Nanjing Shunxin Pharmaceutical Co., Ltd.",,TQB2102 injection,China,71,Advanced Cancer,2023-02-01,1
262,NCT04556773,Phase 1,AstraZeneca,"Daiichi Sankyo Company, Limited,Daiichi Sankyo Co., Ltd.","Capivasertib,MEDI4736,AZD5363,DS-8201a, T-DXd,Capecitabine,Durvalumab,Taxol A,Trastuzumab deruxtecan,Paclitaxel,Fulvestrant,Anastrozol,Anastrozole","Russian Federation,Belgium,Mexico,Korea, Republic of,Brazil,Canada,Taiwan,Australia,United States,France",138,Metastatic Breast Cancer,2020-12-17,1
263,NCT06233942,Phase 1,BeiGene,,"Tislelizumab,BG-C9074",Australia,150,Advanced Solid Tumor,2024-04-12,1
264,NCT00947856,Phase 2,Seagen Inc.,"Millennium Pharmaceuticals, Inc.","Adcetris,brentuximab vedotin","United States,France",110,"Lymphoma, Large-Cell, Anaplastic,Disease, Hodgkin,Lymphoma, Non-Hodgkin",2009-07-01,2
265,NCT06359002,Phase 1,Byondis B.V.,,BYON4413,"Netherlands,Spain,Belgium",100,"Relapsed / Refractory AML,Relapsed / Refractory MDS",2024-06-01,1
266,NCT06336707,Phase 1,Hansoh BioMedical R&D Company,,"HS-20089,Cisplatin / carboplatin,Adebrelimab,Bevacizumab",,1048,Advanced Solid Tumors,2024-04-08,1
267,NCT06003231,Phase 2,Seagen Inc.,,"RC48, RC48-ADC,disitamab vedotin","Canada,Australia,United States",160,"Carcinoma, Squamous Cell of Head and Neck,Carcinoma, Non-Small-Cell Lung,Endometrial Neoplasms,Ovarian Neoplasms",2023-11-14,2
268,NCT06422520,Phase 1,BeiGene,,"Tislelizumab,BGB-C354",,62,Advanced Solid Tumor,2024-06-24,1
269,NCT01472887,Phase 2,Sanofi,,SAR3419,"Belgium,Poland,Israel,Italy,Spain,Turkey,Czechia,United States,United Kingdom",61,Diffuse Large B-cell Lymphoma,2012-01-01,2
270,NCT06112379,Phase 3,AstraZeneca,Daiichi Sankyo,"MEDI4736,Doxorubicin,Epirubicin,Carboplatin,Olaparib,KEYTRUDA®,Pembrolizumab,Dato-DXd,Capecitabine,Durvalumab,Datopotamab deruxtecan (Dato-DXd, DS-1062a),Paclitaxel,LYNPARZA®,XELODA®, Capecitabine Cell Pharm, Capecitabine EG, Capecitabine Accord,Cyclophosphamide","Poland,Turkey,Brazil,Vietnam,Hungary,Belgium,India,Italy,Taiwan,United Kingdom,China,Hong Kong,Singapore,Australia,Bulgaria,Switzerland,Japan,United States,Germany,Austria,Korea, Republic of,Thailand,Spain,Canada,Malaysia,France",1728,Breast Cancer,2023-11-14,3
271,NCT01470456,Phase 2,Sanofi,,"rituximab,SAR3419","Norway,Austria,France",50,Diffuse Large B-Cell Lymphoma,2011-11-01,2
272,NCT05804864,Phase 1,"Xuanzhu Biopharmaceutical Co., Ltd.",,KM501,China,96,Advanced Solid Tumors,2023-04-01,1
273,NCT06303505,"Phase 2,Phase 1",Tubulis GmbH,,TUB-040,United States,100,"Ovarian Cancer,Non-small Cell Lung Cancer",2024-05-01,2
274,NCT04246047,Phase 3,GlaxoSmithKline,,"Bortezomib,Drug: Dexamethasone,Belantamab mafodotin,Drug: Belantamab mafodotin,Drug: Bortezomib,Drug: Daratumumab,Dexamethasone,Daratumumab","Poland,Brazil,Belgium,Israel,Italy,Netherlands,Czechia,United Kingdom,China,Australia,United States,Japan,Russian Federation,Germany,Korea, Republic of,Spain,Canada,Greece,New Zealand,France",571,Multiple Myeloma,2020-01-27,3
275,NCT05535244,"Phase 2,Phase 1",Hoffmann-La Roche,,"Cevostamab,Tocilizumab","Germany,Belgium,Israel,Italy,Spain,Australia,United States,France",90,Multiple Myeloma,2022-10-18,2
276,NCT00891176,Phase 3,GlaxoSmithKline,,"MenitorixTM,InfanrixTM hexa,PrevenarTM,InfanrixTM penta,InfanrixTM IPV/Hib,Pneumococcal conjugate vaccine GSK1024850A,InfanrixTM IPV,MeningitecTM,NeisVac-CTM","Germany,Spain,Poland",582,"Haemophilus Influenzae Type b,Neisseria Meningitidis",2009-05-14,3
277,NCT06103864,Phase 3,AstraZeneca,Daiichi Sankyo,"MEDI4736,Carboplatin,Pembrolizumab,Dato-DXd,Datopotamab deruxtecan (Dato-DXd, DS-1062a),Durvalumab,Paclitaxel,Nab-paclitaxel,Gemcitabine","Poland,Brazil,Vietnam,India,Italy,Taiwan,United Kingdom,Mexico,China,Argentina,Singapore,Australia,United States,Japan,Germany,Korea, Republic of,Thailand,Spain,Canada,Philippines,Turkey,South Africa,France",625,Breast Cancer,2023-11-23,3
278,NCT06147037,Phase 1,Fusion Pharmaceuticals Inc.,AstraZeneca,"[111In]-FPI-2107,FPI-2053,[225Ac]-FPI-2068","Canada,United States",110,"Metastatic Colorectal Carcinoma,Advanced Solid Tumor,Head and Neck Squamous Cell Carcinoma,Pancreatic Ductal Adenocarcinoma,Non-small Cell Lung Cancer",2024-07-31,1
279,NCT06429761,Phase 4,AstraZeneca,,Trastuzumab deruxtecan,,100,BREAST CANCER,2024-09-30,4
280,NCT05104866,Phase 3,AstraZeneca,Daiichi Sankyo,"Vinorelbine,Eribulin,Eribulin Mesylate,Datopotamab deruxtecan (Dato-DXd, DS-1062a),Dato-DXd,Capecitabine,Gemcitabine","Poland,Brazil,Hungary,Belgium,India,Italy,Netherlands,Taiwan,United Kingdom,China,Argentina,United States,Japan,Russian Federation,Germany,Korea, Republic of,Spain,Canada,South Africa,France",732,Breast Cancer,2021-10-18,3
281,NCT05609968,Phase 3,Merck Sharp & Dohme LLC,Gilead Sciences,"MK-3475,Trodelvy®,Pembrolizumab,Keytruda®,Sacituzumab Govitecan","Poland,Estonia,Turkey,Brazil,Peru,Israel,Italy,Taiwan,United Kingdom,Romania,China,Australia,Lithuania,United States,Japan,Germany,Korea, Republic of,Thailand,Canada,Chile,Greece,Philippines,Latvia,Malaysia",614,"Carcinoma, Non-Small-Cell Lung",2023-02-06,3
282,NCT03724747,Phase 1,Bayer,,"BAY2315497 Injection,Darolutamide(BAY1841788)","United States,Finland,United Kingdom",63,Metastatic Castration Resistant Prostate Cancer (mCRPC),2018-12-18,1
283,NCT02884726,Phase 1,Bristol-Myers Squibb,,BMS-986148,Japan,8,Advanced Cancer,2016-10-14,1
284,NCT03856541,Phase 1,"Jiangsu HengRui Medicine Co., Ltd.",,"HTI-1066,SHR-A1403",China,9,Advanced Solid Tumor,2019-02-13,1
285,NCT05687266,Phase 3,AstraZeneca,,"Carboplatin,Pembrolizumab,Cisplatin,Pemetrexed,Durvalumab,Dato-DXd,Paclitaxel,MEDI4736, Imfinzi,Datopotamab deruxtecan","Poland,Brazil,Vietnam,Hungary,India,Peru,Italy,Taiwan,United Kingdom,Denmark,Mexico,China,Bulgaria,Sweden,Japan,United States,Germany,Austria,Korea, Republic of,Spain,Canada,Greece,Turkey,France",1280,NSCLC,2022-12-29,3
286,NCT01100502,Phase 3,Seagen Inc.,"Millennium Pharmaceuticals, Inc.","SGN-35,Adcetris,placebo,brentuximab vedotin","Romania,Russian Federation,Serbia,Germany,Hungary,Poland,Italy,Spain,Czechia,Bulgaria,United States,United Kingdom,France",329,"Disease, Hodgkin",2010-04-30,3
287,NCT05456685,Phase 2,"ImmunoGen, Inc.",,"MIRV,Carboplatin,Mirvetuximab soravtansine,IMGN853","Belgium,Georgia,Spain,Canada,United States,United Kingdom",114,"Primary Peritoneal Cancer,High Grade Ovarian Cancer,Fallopian Tube Cancer",2022-09-28,2
288,NCT00848926,Phase 2,Seagen Inc.,"Millennium Pharmaceuticals, Inc.","SGN-35,ADCETRIS,brentuximab vedotin","Belgium,Italy,Canada,United States,France",102,"Disease, Hodgkin",2009-02-01,2
289,NCT04879329,Phase 2,Seagen Inc.,Merck Sharp & Dohme LLC,"pembrolizumab,KEYTRUDA®,RC48-ADC,disitamab vedotin","Belgium,Japan,Israel,Argentina,Spain,Canada,Chile,Australia,United States,United Kingdom",332,Urothelial Carcinoma,2022-05-03,2
290,NCT03828292,Phase 1,GlaxoSmithKline,,"Bortezomib,Pomalidomide,Dexamethasone,Belantamab mafodotin",Japan,15,Multiple Myeloma,2019-03-14,1
291,NCT05922501,Phase 2,Massachusetts General Hospital,"Sanofi,GlaxoSmithKline","Isatuximab,Belantamab mafodotin,GSK2857916,SAR650984,Pomalidomide,Dexamethasone",United States,50,"Refractory Multiple Myeloma,Multiple Myeloma,Relapsed Cancer",2024-06-18,2
292,NCT04147819,Phase 1,Bayer,,BAY2701439,"United States,United Kingdom",14,Cancers With HER2 Expression,2020-07-02,1
293,NCT06014190,Phase 2,Hansoh BioMedical R&D Company,,HS-20089,China,460,"Fallopian Tube Cancer,Ovarian Cancer,Endometrial Cancer,Primary Peritoneal Cancer",2023-12-18,2
294,NCT06227117,Phase 2,"RemeGen Co., Ltd.",,"Disitamab Vedotin Injection （12 weeks）,Epirubicin,Carboplatin,Sequential Epirubicin,DV,RC48-ADC,JS001,Toripalimab （18weeks）,Disitamab Vedotin Injection （18 weeks）,CTX, cyclophosphamide,Sequential CTX,Toripalimab （12weeks）",China,120,Breast Cancer,2023-07-27,2
295,NCT05425550,,Palleos Healthcare GmbH,mobile Health AG,medidux™ app,Switzerland,585,Breast Cancer,2022-08-29,
296,NCT01874054,"Phase 2,Phase 1",Seagen Inc.,,"Adcetris; SGN-35,bendamustine,brentuximab vedotin",United States,55,Hodgkin Disease,2013-06-01,2
297,NCT06397768,Phase 3,"Sanofi Pasteur, a Sanofi Company",,"Diphtheria, tetanus, pertussis, Haemophilus influenzae type b and poliomyelitis vaccine,Placebo,RotaTeq®,VARIVAX®,RSVt vaccine,Pentacel®,Hepatitis B vaccine,Streptococcus pneumoniae vaccine,Vaxelis®,PREVNAR 20®,Varicella virus vaccine,M-M-R® II,Rotavirus vaccine,534,Measles, mumps, and rubella vaccine,Diphtheria, tetanus, pertussis, poliomyelitis , Haemophilus influenzae type b, and hepatitis B vaccine,RECOMBIVAX HB® or alternate monovalent hepatitis B vaccine","United States,Puerto Rico",2226,RSV Immunization,2024-05-13,3
298,NCT01026415,Phase 1,Seagen Inc.,"Millennium Pharmaceuticals, Inc.","ketoconazole,ADCETRIS; SGN-35,rifampin,midazolam,brentuximab vedotin,SGN-35",United States,73,"Lymphoma, Large-Cell, Anaplastic,Carcinomas,Lymphoma, Non-Hodgkin,Disease, Hodgkin,Neoplasms",2009-12-01,1
299,NCT06161025,"Phase 3,Phase 2",Daiichi Sankyo,Merck Sharp & Dohme LLC,"Pegylated Liposomal Doxorubicin,R-DXd,Topotecan,DS-6000a,Paclitaxel,PLD,Gemcitabine","China,Korea, Republic of,Taiwan,Japan",650,Solid Cancer,2024-02-27,3
300,NCT01712490,Phase 3,Takeda,Seagen Inc.,"dacarbazine,Adriamycin,brentuximab vedotin,SGN-35,vinblastine,doxorubicin,ADCETRIS®,DTIC,bleomycin","Poland,Brazil,Hungary,Belgium,Italy,Taiwan,United Kingdom,Denmark,Norway,Hong Kong,Australia,United States,Japan,Russian Federation,Korea, Republic of,Spain,Canada,Turkey,Czechia,South Africa,France",1334,Hodgkin Lymphoma,2012-11-09,3
301,NCT06178159,Phase 2,"RemeGen Co., Ltd.",,"DV,RC48-ADC,JS001,Toripalimab,Disitamab Vedotin Injection,Pertuzumab Injection",China,80,Breast Cancer,2023-11-28,2
302,NCT01224821,Phase 2,GlaxoSmithKline,,Tositumomab (Anti-B1 Antibody) and Iodine-131 Tositumomab,,47,"Lymphoma, Non-Hodgkin",1995-12-01,2
303,NCT05169658,Phase 2,University of Washington,"Genentech, Inc.","ADC DCDS4501A,1905409-39-3,RO5072759,RG-7828,GA-101,RO 5072759,RG7828,Mosunetuzumab,CD20/CD3 BiMAb BTCT4465A,GA101,RO-5072759,RG 7828,DCDS4501A,RO7030816,Anti-CD20 Monoclonal Antibody R7159,FCU 2711,huMAB(CD20),Antibody-Drug Conjugate DCDS4501A,Mosunetuzumab-axgb,R7159,BTCT 4465A,Gazyva,Polivy,Lunsumio,Anti-CD20 x Anti-CD3 Bispecific Monoclonal Antibody BTCT4465A,Polatuzumab Vedotin,949142-50-1,polatuzumab vedotin-piiq,BTCT-4465A,BTCT4465A,1313206-42-6,RG7596,Ro 5541077-000,Obinutuzumab",United States,42,"Indolent B-Cell Non-Hodgkin Lymphoma,Refractory Extranodal Marginal Zone Lymphoma of Mucosa-Associated Lymphoid Tissue,Marginal Zone Lymphoma,Recurrent Extranodal Marginal Zone Lymphoma of Mucosa-Associated Lymphoid Tissue,Grade 2 Follicular Lymphoma,Grade 1 Follicular Lymphoma,Grade 3a Follicular Lymphoma,Non-Hodgkin Lymphoma",2022-03-23,2
304,NCT02572167,"Phase 2,Phase 1",Seagen Inc.,Bristol-Myers Squibb,"SGN-35, ADCETRIS,nivolumab,BMS-936558, OPDIVO,brentuximab vedotin",United States,93,Hodgkin Lymphoma,2015-10-31,2
305,NCT03657043,Phase 2,Seagen Inc.,Genmab,"TIVDAK,tisotumab vedotin","Belgium,United States,Italy,Spain,Ireland,Denmark",98,"Fallopian Tube Cancer,Peritoneal Cancer,Ovarian Cancer",2019-03-20,2
306,NCT03544281,"Phase 2,Phase 1",GlaxoSmithKline,Iqvia Pty Ltd,"Bortezomib,Lenalidomide,Dexamethasone,Belantamab mafodotin","Spain,Canada,Australia,United States,United Kingdom",153,Multiple Myeloma,2018-09-20,2
307,NCT02724163,Phase 3,University of Birmingham,"National Cancer Institute, France,Cancer Research UK,Assistance Publique - Hôpitaux de Paris,Pfizer","Cyclophosphamide,Busulfan,Fludarabine,Cytarabine,Mitoxantrone,Liposomal daunorubicin,Mylotarg,Gemtuzumab ozogamicin","New Zealand,Australia,Ireland,Switzerland,United Kingdom,France",700,Acute Myeloid Leukaemia,2016-04-01,3
308,NCT05948865,Phase 1,"Conjupro Biotherapeutics, Inc.",,"CPO301,SYS6010","Canada,United States",102,"Cancer,Cancer, Lung",2023-06-06,1
309,NCT03474107,Phase 3,"Astellas Pharma Global Development, Inc.",Seagen Inc.,"Enfortumab Vedotin,ASG-22CE,Vinflunine,Paclitaxel,Docetaxel,ASG-22ME","Belgium,Italy,Netherlands,Taiwan,Denmark,United Kingdom,Argentina,Australia,United States,Switzerland,Japan,Russian Federation,Germany,Austria,Portugal,Korea, Republic of,Spain,Canada,France",608,"Bladder Cancer,Ureteral Cancer,Urothelial Cancer",2018-06-27,3
310,NCT04484623,Phase 3,GlaxoSmithKline,,"Bortezomib,Pomalidomide,Dexamethasone,Belantamab mafodotin","Russian Federation,Germany,Poland,China,Japan,Israel,Italy,Korea, Republic of,Brazil,Spain,Greece,Czechia,Turkey,New Zealand,Australia,United States,United Kingdom,France",357,Multiple Myeloma,2020-10-01,3
311,NCT00322049,"Phase 2,Phase 1",U.S. Army Medical Research and Development Command,GlaxoSmithKline,"Tetravalent live attenuated dengue vaccine,Varicella vaccine and Haemophilus influenzae Type b Conjugate vaccine",Thailand,51,Dengue,2004-02-01,2
312,NCT03262935,Phase 3,Byondis B.V.,,"Vinorelbine (Vino),Capecitabine (Cap),SYD985,Trastuzumab vc-seco-DUBA,Trastuzumab (T),Physician's choice,Lapatinib (Lap),(vic-)trastuzumab duocarmazine,Eribulin (Eri)","Belgium,Italy,Spain,Canada,Netherlands,Singapore,United Kingdom,United States,Sweden,Denmark,France",437,Metastatic Breast Cancer,2017-12-15,3
313,NCT03523585,Phase 3,Daiichi Sankyo,"AstraZeneca,Daiichi Sankyo Co., Ltd.","Trastuzumab,Investigator's Choice Comparative Therapy,Capecitabine,Trastuzumab deruxtecan,T-DXd,Lapatinib,DS-8201a","Germany,Belgium,Japan,Israel,Italy,Korea, Republic of,Brazil,Spain,Greece,Turkey,Czechia,Australia,United States,United Kingdom,France",608,Breast Cancer,2018-08-01,3
314,NCT04639986,Phase 3,Gilead Sciences,,"Capecitabine Oral Product,Xeloda,Gemcitabine Injection,GS-0132,Navelbine,IMMU-132,Gemzar,Eribulin Mesylate Injection,Vinorelbine injection,Sacituzumab Govitecan-hziy,Trodelvy™,Halaven","China,Korea, Republic of,Taiwan",331,Metastatic Breast Cancer,2020-11-23,3
315,NCT04487756,"Phase 2,Phase 1","Instituto Oncologico Dr Rosell,Instituto Oncológico Dr Rosell","Fundacion Clinic per a la Recerca Biomédica,Roche Pharma AG","ADC Vaccine,Carboplatin,Biological: ADC Vaccine,Tecentriq,Autologous Dendritic cell (ADC) vaccine, Dendritic cell (DC) vaccine,Drug: Carboplatin,Atezolizumab 1200 mg in 20 ML Injection,Carboplatino (Teva/Accord/Pharmacia),Drug: Atezolizumab 1200 mg in 20 ML Injection",Spain,20,Extensive-stage Small Cell Lung Cancer,2020-07-22,2
316,NCT02326584,Phase 1,Seagen Inc.,,"SGN-CD33A,High dose cytarabine for consolidation,Daunorubicin,vadastuximab talirine,Standard dose cytarabine for induction",United States,116,"Acute Myeloid Leukemia,Acute Myelogenous Leukemia",2014-12-01,1
317,NCT05647122,Phase 1,AstraZeneca,,"AZD9592,Osimertinib,5-Fluorouracil (5-FU),Bevacizumab,Leucovorin","China,Italy,Korea, Republic of,Spain,Canada,Taiwan,Malaysia,Australia,United States,Japan,France",162,"Carcinoma Non-small Cell Lung,Head and Neck Neoplasms,Advanced Solid Tumours,Colorectal Neoplasms",2022-12-22,1
318,NCT05279300,Phase 1,CStone Pharmaceuticals,,CS5001,"China,Australia,United States",156,"Advanced Solid Tumor,Advanced Lymphoma",2022-03-28,1
319,NCT06400472,Phase 1,Eli Lilly and Company,"Loxo Oncology, Inc.",LY4170156,United States,220,"Pancreatic Neoplasm,Uterine Cervical Neoplasms,Carcinoma, Non-Small-Cell Lung,Ovarian Neoplasms,Colorectal Neoplasms,Triple Negative Breast Neoplasms,Endometrial Neoplasms",2024-05-06,1
320,NCT04381832,"Phase 2,Phase 1","Arcus Biosciences, Inc.",Gilead Sciences,"AB928,Quemliclustat,Trodelvy,SG,Etrumadenant,Zimberelimab,AB680,Docetaxel,AB122,Xtandi,Taxotere,Enzalutamide","Canada,United States",173,"Androgen-Resistant Prostatic Neoplasms,Castration Resistant Prostatic Neoplasms,Prostatic Cancer, Castration-Resistant,Prostatic Neoplasms, Castration-Resistant",2020-07-07,2
321,NCT05954143,Phase 2,"Bolt Biotherapeutics, Inc.",Hoffmann-La Roche,"Perjeta®,Pertuzumab,BDC-1001","United States,Italy,Spain",66,"HER2-positive Breast Cancer,Metastatic Breast Cancer",2023-11-30,2
322,NCT04786847,Phase 1,Telix Pharmaceuticals (Innovations) Pty Limited,,177Lu-DOTA-TLX591,Australia,30,Metastatic Prostate Cancer,2022-01-30,1
323,NCT05327530,Phase 2,"EMD Serono Research & Development Institute, Inc.","Merck KGaA, Darmstadt, Germany; Gilead Sciences; Nektar Therapeutics","NKTR-255,M6223,GS-0132,IMMU-132,Avelumab,Sacituzumab Govitecan,MSB0010718C,Trodelvy™","Germany,Belgium,Italy,Korea, Republic of,Spain,Canada,Greece,Taiwan,United Kingdom,Australia,United States,Denmark,France",252,Locally Advanced or Metastatic Urothelial Carcinoma,2022-08-17,2
324,NCT05149768,Phase 2,Lawson Health Research Institute,Seagen Inc.,"Brentuximab vedotin,ADCETRIS, SGN-35",Canada,11,Diffuse Cutaneous Systemic Sclerosis,2024-02-14,2
